runId,cohort,projectId,scenarioId,packageName,sourceFile,component,expectedPositive,expectedTier,predictedPositive,predictedTier,outcome,tierMatch,expectedSinkRuleId,predictedSinkRuleId,sinkRuleMatch,expectedReasonCode,predictedReasonCode,reasonCodeMatch,exactSecondaryMatch,findingCount,positiveFindingCount,baselinePredictedPositive,baselineOutcome
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,direct-inner-html,marked,src/DirectInnerHtml.jsx,DirectInnerHtml,true,CRITICAL,true,CRITICAL,TP,true,inner-html,inner-html,true,DIRECT_SINK_FLOW,DIRECT_SINK_FLOW,true,true,1,1,true,TP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,local-variable-propagation,marked,src/LocalPropagation.jsx,LocalPropagation,true,HIGH,true,HIGH,TP,true,inner-html,inner-html,true,PROPAGATED_SINK_FLOW,PROPAGATED_SINK_FLOW,true,true,1,1,true,TP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,inter-component-propagation,marked,src/InterComponentPropagation.jsx,InterComponentPropagation,true,HIGH,true,HIGH,TP,true,inner-html,inner-html,true,INTER_COMPONENT_SINK_FLOW,INTER_COMPONENT_SINK_FLOW,true,true,2,1,true,TP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,require-direct-eval,marked,src/RequireDirectEval.jsx,RequireDirectEval,true,CRITICAL,true,CRITICAL,TP,true,eval,eval,true,DIRECT_SINK_FLOW,DIRECT_SINK_FLOW,true,true,1,1,true,TP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,unused-static-import,marked,src/UnusedImport.jsx,,false,NONE,false,NONE,TN,true,,,,UNUSED_IMPORT,UNUSED_IMPORT,true,true,1,0,true,FP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,component-without-sink,marked,src/ComponentWithoutSink.jsx,ComponentWithoutSink,false,MEDIUM,false,MEDIUM,TN,true,,,,COMPONENT_WITHOUT_SINK,COMPONENT_WITHOUT_SINK,true,true,1,0,true,FP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,unrelated-sink,marked,src/UnrelatedSink.jsx,UnrelatedSink,false,MEDIUM,false,MEDIUM,TN,true,,,,NO_PROVEN_SINK_PATH,NO_PROVEN_SINK_PATH,true,true,1,0,true,FP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,dynamic-import-no-binding,marked,src/DynamicImportNoBinding.jsx,,false,LOW,false,LOW,TN,true,,,,NO_BINDING,NO_BINDING,true,true,1,0,true,FP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,use-state-initial-propagation,marked,src/UseStateInitial.jsx,UseStateInitial,true,HIGH,true,HIGH,TP,true,inner-html,inner-html,true,PROPAGATED_SINK_FLOW,PROPAGATED_SINK_FLOW,true,true,1,1,true,TP
20260824T202157298Z-2aa39a3a,characterization,effectiveness-core,use-state-setter-propagation,marked,src/UseStateSetter.jsx,UseStateSetter,true,HIGH,true,HIGH,TP,true,inner-html,inner-html,true,PROPAGATED_SINK_FLOW,PROPAGATED_SINK_FLOW,true,true,1,1,true,TP
