runId,projectId,targetSourceFiles,measurementIndex,auditMs,parseMs,dependenciesMs,componentsMs,sinksMs,graphMs,reachabilityMs,staticAnalysisMs,reportMs,totalMs,peakRssBytes,peakRssMiB,rssSampleCount,sourceFileCount,componentCount,sinkCount,findingCount,diagnosticCount,outlier
20260824T202221487Z-8155975c,performance-50,50,1,0.127,50.242,12.027,5.647,4.352,0.795,5.852,78.915,0.082,79.552,94785536,90.39453125,31,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,2,0.092,49.367,12.92,5.543,4.144,0.745,5.27,77.989,0.271,78.757,95748096,91.3125,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,3,0.094,48.055,12.829,5.729,3.914,0.841,5.733,77.101,0.132,77.807,94515200,90.13671875,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,4,0.087,48.827,12.813,6.596,4.218,1.135,6.041,79.63,0.183,80.333,95186944,90.77734375,31,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,5,0.111,48.813,12.544,6.034,4.367,1.004,5.863,78.625,0.105,79.312,95240192,90.828125,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,6,0.088,47.237,12.111,6.019,4.851,0.768,5.445,76.431,0.254,77.179,95707136,91.2734375,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,7,0.089,48.706,12.26,5.522,4.122,1.034,6.522,78.166,0.097,78.904,94728192,90.33984375,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,8,0.091,50.776,12.65,5.488,4.04,0.825,5.096,78.875,0.134,79.483,96071680,91.62109375,30,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,9,0.088,48.022,12.444,5.815,4.081,0.747,5.955,77.064,0.117,77.686,95080448,90.67578125,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,10,0.093,48.013,12.243,5.815,4.287,0.724,5.561,76.643,0.089,77.229,94572544,90.19140625,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,11,0.088,48.462,12.255,5.632,5.356,0.951,5.479,78.135,0.136,78.79,94064640,89.70703125,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,12,0.112,47.653,12.573,5.5,4.305,0.72,5.609,76.36,0.11,77.015,94859264,90.46484375,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,13,0.094,48.841,12.624,5.708,4.106,0.805,6.5,78.584,0.091,79.2,94810112,90.41796875,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,14,0.086,50.996,12.244,6.072,4.8,0.843,5.705,80.66,0.188,81.347,94883840,90.48828125,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,15,0.094,51.993,12.239,6.963,5.025,1.131,6.183,83.534,0.139,84.234,104886272,100.02734375,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,16,0.215,48.955,13.43,5.785,5.785,0.938,5.457,80.35,0.088,81.121,94306304,89.9375,31,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,17,0.087,51.246,13.389,5.711,4.412,0.766,5.787,81.311,0.092,81.918,94838784,90.4453125,30,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,18,0.089,49.418,14.069,6.297,4.688,0.776,5.874,81.122,0.091,81.761,94453760,90.078125,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,19,0.139,49.209,12.799,5.921,4.624,0.806,6.142,79.501,0.096,80.199,94789632,90.3984375,28,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,20,0.091,52.813,13.187,5.677,4.435,0.732,7.547,84.391,0.15,85.116,94687232,90.30078125,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,21,0.094,53.183,12.327,5.565,4.707,0.729,5.461,81.972,0.096,82.575,95268864,90.85546875,30,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,22,0.09,49.437,12.1,5.313,4.311,0.739,6.188,78.088,0.092,78.673,95358976,90.94140625,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,23,0.09,50.12,13.274,5.896,4.06,0.881,5.564,79.795,0.122,80.473,94310400,89.94140625,30,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,24,0.105,50.872,12.811,6.949,4.78,0.768,5.631,81.811,0.094,82.455,94232576,89.8671875,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,25,0.089,53.527,12.94,5.64,4.829,0.778,5.55,83.264,0.37,84.134,95776768,91.33984375,30,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,26,0.098,48.6,12.208,7.197,4.553,0.76,6.4,79.718,0.143,80.406,94654464,90.26953125,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,27,0.102,47.718,12.684,5.537,4.444,0.702,5.793,76.878,0.165,77.616,94932992,90.53515625,30,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,28,0.09,47.38,12.096,5.285,3.912,0.732,5.69,75.095,0.13,75.724,94679040,90.29296875,29,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,29,0.086,48.823,12.227,5.748,4.575,0.804,5.252,77.429,0.092,77.986,94359552,89.98828125,27,50,55,22,33,0,false
20260824T202221487Z-8155975c,performance-50,50,30,0.097,49.607,12.231,5.502,4.875,0.743,5.529,78.487,0.092,79.079,95174656,90.765625,29,50,55,22,33,0,false
