runId,projectId,targetSourceFiles,measurementIndex,auditMs,parseMs,dependenciesMs,componentsMs,sinksMs,graphMs,reachabilityMs,staticAnalysisMs,reportMs,totalMs,peakRssBytes,peakRssMiB,rssSampleCount,sourceFileCount,componentCount,sinkCount,findingCount,diagnosticCount,outlier
20260824T202331517Z-26f2fb51,performance-50,50,1,0.157,52.367,13.165,5.577,4.43,0.707,6.318,82.564,0.166,83.416,94126080,89.765625,31,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,2,0.108,51.132,13.675,5.839,4.712,0.797,6.568,82.723,0.088,83.398,94801920,90.41015625,31,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,3,0.088,50.264,13.532,5.906,4.346,1.021,6.702,81.771,0.1,82.401,95129600,90.72265625,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,4,0.105,52.456,13.378,5.785,4.265,0.724,5.164,81.772,0.313,82.654,96137216,91.68359375,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,5,0.156,50.251,13.141,6.095,5.526,1.119,8.005,84.137,0.209,84.972,94019584,89.6640625,29,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,6,0.094,50.201,12.669,5.486,5.229,0.774,5.324,79.683,0.087,80.274,94326784,89.95703125,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,7,0.088,50.473,13.536,6.213,4.678,0.764,5.786,81.45,0.222,82.206,94490624,90.11328125,28,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,8,0.09,48.686,12.416,5.412,4.455,0.951,5.582,77.502,0.099,78.093,95162368,90.75390625,28,50,55,22,33,0,true
20260824T202331517Z-26f2fb51,performance-50,50,9,0.105,52.209,12.233,8.474,4.338,0.744,5.554,83.552,0.092,84.179,95518720,91.09375,29,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,10,0.105,53.238,14.406,7.746,4.424,1.001,6.776,87.591,0.131,88.331,94539776,90.16015625,28,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,11,0.09,49.729,12.122,5.823,4.498,0.754,7.589,80.515,0.164,81.274,95059968,90.65625,32,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,12,0.143,53.35,14.592,7.207,7.408,1.399,6.241,90.197,0.169,91.05,93970432,89.6171875,32,50,55,22,33,0,true
20260824T202331517Z-26f2fb51,performance-50,50,13,0.094,61.357,18.238,9.541,7.181,1.224,22.905,120.446,0.18,121.293,94695424,90.30859375,35,50,55,22,33,0,true
20260824T202331517Z-26f2fb51,performance-50,50,14,0.112,52.2,14.755,5.66,4.714,0.788,5.466,83.583,0.239,84.41,95510528,91.0859375,31,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,15,0.11,49.5,12.811,5.803,5.236,0.973,7.787,82.11,0.122,82.795,94097408,89.73828125,32,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,16,0.232,80.9,13.958,5.894,4.468,0.802,5.72,111.742,0.088,112.831,95059968,90.65625,34,50,55,22,33,0,true
20260824T202331517Z-26f2fb51,performance-50,50,17,0.108,50.662,12.81,5.622,5.113,0.919,6.034,81.16,0.126,81.865,94937088,90.5390625,31,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,18,0.092,50.562,13.615,5.86,5.167,1.106,5.647,81.957,0.09,82.709,93818880,89.47265625,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,19,0.089,50.578,12.92,6.841,4.719,0.761,5.951,81.77,0.107,82.415,94568448,90.1875,28,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,20,0.106,52.543,13.173,5.593,3.875,0.822,6.498,82.504,0.095,83.187,95006720,90.60546875,29,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,21,0.111,52.571,13.156,6.165,4.653,0.948,6.429,83.922,0.119,84.609,93642752,89.3046875,29,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,22,0.089,50.668,13.585,7.12,5.208,1.122,6.621,84.324,0.093,84.992,94523392,90.14453125,31,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,23,0.111,54.991,12.924,5.735,4.233,0.726,5.99,84.599,0.087,85.247,95002624,90.6015625,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,24,0.089,50.248,13.026,5.409,6.81,0.771,6.292,82.556,0.182,83.263,95641600,91.2109375,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,25,0.088,50.249,14.034,5.642,4.765,0.766,5.955,81.411,0.127,82.081,95100928,90.6953125,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,26,0.089,51.844,11.903,7.192,4.377,0.736,6.028,82.08,0.083,82.656,94117888,89.7578125,29,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,27,0.095,51.491,14.339,5.897,4.8,0.895,5.744,83.166,0.092,83.802,94863360,90.46875,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,28,0.105,49.556,13.074,5.721,4.624,0.743,5.333,79.051,0.114,79.679,94322688,89.953125,30,50,55,22,33,0,false
20260824T202331517Z-26f2fb51,performance-50,50,29,0.088,49.872,12.295,5.871,3.987,0.944,5.604,78.573,0.098,79.181,94199808,89.8359375,27,50,55,22,33,0,false
