runId,projectId,targetSourceFiles,measurementIndex,auditMs,parseMs,dependenciesMs,componentsMs,sinksMs,graphMs,reachabilityMs,staticAnalysisMs,reportMs,totalMs,peakRssBytes,peakRssMiB,rssSampleCount,sourceFileCount,componentCount,sinkCount,findingCount,diagnosticCount,outlier
20260918T145318252Z-40189d1a,performance-50,50,1,0.089,47.531,11.891,5.932,5.083,0.732,5.379,76.548,0.094,77.107,102526976,97.77734375,30,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,2,0.09,48.828,11.872,5.775,4.301,0.739,5.469,76.984,0.089,77.551,103747584,98.94140625,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,3,0.09,47.422,10.865,5.591,4.223,0.925,5.379,74.405,0.11,74.994,101974016,97.25,28,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,4,0.091,50.777,11.932,5.874,4.328,0.774,5.41,79.095,0.099,79.685,102158336,97.42578125,28,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,5,0.171,47.701,11.681,6.365,5.497,0.808,5.881,77.933,0.102,78.641,101625856,96.91796875,28,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,6,0.087,49.138,11.559,5.757,4.511,0.73,5.423,77.118,0.101,77.668,102932480,98.1640625,27,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,7,0.093,49.972,11.724,6.073,6.788,1.138,6.64,82.335,0.238,83.159,102375424,97.6328125,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,8,0.092,48.478,10.872,5.601,4.21,0.91,5.534,75.605,0.108,76.21,103391232,98.6015625,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,9,0.089,49.886,12.136,6.384,4.832,0.753,7.61,81.601,0.143,82.26,101072896,96.390625,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,10,0.091,57.238,13.195,6.748,5.289,0.814,6.118,89.402,0.13,90.101,103378944,98.58984375,29,50,55,22,33,0,true
20260918T145318252Z-40189d1a,performance-50,50,11,0.093,51.553,12.176,5.845,4.856,0.735,5.952,81.117,0.101,81.688,102420480,97.67578125,31,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,12,0.096,50.938,12.081,5.464,4.249,0.815,5.284,78.831,0.088,79.409,101617664,96.91015625,30,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,13,0.096,48.189,11.459,5.45,4.404,0.72,5.774,75.996,0.104,76.576,102105088,97.375,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,14,0.086,48.276,11.081,5.498,4.467,0.729,5.87,75.921,0.097,76.477,103079936,98.3046875,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,15,0.14,49.306,12.956,6.637,4.915,0.844,5.8,80.458,0.133,81.19,102309888,97.5703125,28,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,16,0.088,47.993,12.047,5.919,4.633,0.71,5.498,76.8,0.115,77.413,102621184,97.8671875,27,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,17,0.097,49.274,12.104,5.503,4.026,0.779,5.076,76.762,0.094,77.428,101953536,97.23046875,28,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,18,0.086,49.955,11.484,5.489,4.347,0.748,5.812,77.835,0.131,78.446,102473728,97.7265625,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,19,0.086,47.137,11.401,5.485,4.233,0.708,5.305,74.269,0.099,74.856,101863424,97.14453125,28,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,20,0.091,49.877,11.039,5.883,4.23,0.777,5.59,77.396,0.246,78.269,103542784,98.74609375,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,21,0.089,47.3,11.455,6.033,4.465,0.958,5.881,76.092,0.116,76.753,102563840,97.8125,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,22,0.091,48.29,11.577,6.113,4.934,0.722,5.732,77.368,0.188,78.073,102580224,97.828125,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,23,0.096,48.87,11.042,5.652,4.998,0.909,5.006,76.477,0.107,77.113,101793792,97.078125,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,24,0.12,51.793,13.263,9.488,5.91,0.873,5.906,87.233,0.169,88.05,102113280,97.3828125,28,50,55,22,33,0,true
20260918T145318252Z-40189d1a,performance-50,50,25,0.091,47.606,11.562,6.221,4.534,0.724,5.94,76.587,0.088,77.142,102465536,97.71875,27,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,26,0.093,47.722,11.846,5.294,4.378,0.709,5.189,75.138,0.089,75.694,101941248,97.21875,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,27,0.09,48.528,11.634,5.804,4.581,0.727,5.605,76.879,0.089,77.445,102146048,97.4140625,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,28,0.09,46.431,11.236,5.58,4.445,0.73,5.689,74.111,0.097,74.677,102445056,97.69921875,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,29,0.139,48.385,11.22,5.501,4.495,0.727,5.255,75.583,0.096,76.207,103022592,98.25,28,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-50,50,30,0.089,49.185,10.891,5.595,4.641,1.313,5.571,77.196,0.11,77.807,102596608,97.84375,29,50,55,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,1,0.087,142.271,31.603,21.285,11.979,3.326,4.959,215.423,0.096,216.015,116785152,111.375,38,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,2,0.085,137.755,29.647,19.621,14.121,1.439,4.8,207.383,0.091,208.033,117727232,112.2734375,36,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,3,0.088,142.041,30.613,19.527,13.525,1.356,5.655,212.717,0.111,213.358,117604352,112.15625,38,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,4,0.092,139.21,30.794,18.925,13.683,1.295,4.789,208.696,0.088,209.271,117436416,111.99609375,39,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,5,0.092,142.02,32.75,20.217,11.506,3.492,4.876,214.861,0.096,215.455,117706752,112.25390625,37,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,6,0.089,139.386,30.118,20.189,13.7,1.335,4.909,209.637,0.095,210.213,117215232,111.78515625,35,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,7,0.087,141.812,32.039,20.219,11.49,3.559,5.261,214.38,0.091,215.014,117301248,111.8671875,35,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,8,0.089,140.701,31.358,19.975,14.16,1.312,5.271,212.777,0.096,213.369,117506048,112.0625,38,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,9,0.09,142.015,29.745,20.859,11.48,1.417,7.113,212.629,0.103,213.269,117653504,112.203125,36,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,10,0.087,139.806,29.388,20.835,13.016,1.271,4.828,209.144,0.091,209.737,117207040,111.77734375,38,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,11,0.086,141.838,29,20.738,14.334,1.485,5.069,212.464,0.099,213.057,117243904,111.8125,37,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,12,0.086,142.573,29.8,20.081,11.781,3.619,5.173,213.027,0.096,213.638,117194752,111.765625,39,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,13,0.088,140.925,31.241,19.779,13.41,1.366,4.825,211.546,0.096,212.133,117149696,111.72265625,34,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,14,0.091,140.547,29.822,19.602,11.419,3.604,4.785,209.779,0.093,210.357,117088256,111.6640625,38,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,15,0.088,143.833,29.888,19.757,13.943,1.345,4.958,213.724,0.089,214.318,116953088,111.53515625,37,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,16,0.087,140.284,30.854,21.341,11.187,1.481,6.845,211.992,0.089,212.591,117608448,112.16015625,35,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,17,0.089,141.706,34.517,19.686,12.059,3.229,4.974,216.171,0.097,216.795,117125120,111.69921875,36,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,18,0.088,141.157,31.019,18.749,11.986,3.567,4.808,211.286,0.093,211.868,117071872,111.6484375,39,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,19,0.086,141.282,31.001,20.325,14.296,1.322,4.804,213.03,0.096,213.771,117178368,111.75,35,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,20,0.095,140.279,32.421,19.71,11.936,3.32,4.868,212.534,0.091,213.164,116781056,111.37109375,37,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,21,0.127,143.088,29.567,20.406,13.839,1.279,4.959,213.138,0.094,213.802,117522432,112.078125,36,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,22,0.094,141.193,29.342,20.792,11.924,3.607,5.24,212.098,0.101,212.716,117374976,111.9375,38,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,23,0.093,142.505,30.754,20.272,11.519,3.48,4.937,213.467,0.09,214.058,117133312,111.70703125,39,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,24,0.092,139.94,29.844,19.865,14.202,1.377,4.722,209.95,0.094,210.543,117170176,111.7421875,39,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,25,0.088,141.382,30.575,20.809,13.589,1.465,4.867,212.687,0.095,213.281,117436416,111.99609375,37,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,26,0.096,141.123,30.743,20.048,11.259,3.533,4.758,211.464,0.126,212.107,117403648,111.96484375,36,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,27,0.097,138.682,30.615,20.63,13.087,1.324,4.757,209.095,0.087,209.692,117153792,111.7265625,35,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,28,0.112,140.037,29.689,20.275,13.106,1.333,4.767,209.207,0.089,209.814,117055488,111.6328125,34,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,29,0.089,140.221,30.209,20.409,12.294,3.748,5.281,212.162,0.099,212.775,117198848,111.76953125,35,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-250,250,30,0.104,138.469,31.343,20.416,12.874,3.401,5.596,212.099,0.094,212.714,116547584,111.1484375,38,250,255,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,1,0.089,249.755,54.862,27.623,26.027,2.1,5.261,365.628,0.091,366.233,139939840,133.45703125,46,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,2,0.094,248.84,51.658,28.977,26.106,1.987,5.59,363.158,0.173,363.958,139804672,133.328125,46,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,3,0.087,250.897,51.178,30.052,25.605,1.996,4.878,364.606,0.1,365.244,140267520,133.76953125,48,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,4,0.125,253.674,47.582,28.375,25.844,1.954,4.743,362.172,0.096,362.84,139821056,133.34375,44,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,5,0.088,247.393,52.602,31.292,26.582,2.123,5.696,365.688,0.114,366.382,140283904,133.78515625,46,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,6,0.089,249.041,48.226,27.838,24.794,2.182,4.823,356.904,0.088,357.499,140111872,133.62109375,45,500,505,22,33,0,true
20260918T145318252Z-40189d1a,performance-500,500,7,0.107,251.11,53.999,28.385,25.457,1.963,4.694,365.608,0.09,366.256,139948032,133.46484375,47,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,8,0.118,253.257,50.307,28.405,24.877,2.452,4.744,364.042,0.101,364.733,140218368,133.72265625,49,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,9,0.089,251.317,51.329,28.667,25.645,1.986,5.495,364.439,0.126,365.102,140177408,133.68359375,45,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,10,0.099,250.972,49.289,29.021,26.061,2.54,4.783,362.666,0.101,363.272,139771904,133.296875,48,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,11,0.087,251.688,48.493,28.791,27.532,2.554,5.139,364.197,0.117,364.843,140374016,133.87109375,47,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,12,0.114,248.724,47.709,28.214,25.277,2.618,5.391,357.933,0.117,358.648,139968512,133.484375,47,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,13,0.103,248.804,54.325,31.215,26.144,2.054,4.753,367.295,0.1,367.919,140283904,133.78515625,48,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,14,0.124,252.063,52.183,29.322,26.296,2.381,4.915,367.16,0.092,367.849,139882496,133.40234375,47,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,15,0.089,250.373,49.028,28.861,26.518,2.051,4.822,361.653,0.126,362.304,140058624,133.5703125,45,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,16,0.092,249.38,51.771,30.087,26.673,2.139,5.105,365.155,0.109,365.806,139624448,133.15625,48,500,505,22,33,0,false
20260918T145318252Z-40189d1a,performance-500,500,17,0.089,259.041,46.747,30.088,25.761,2.511,4.975,369.123,0.106,369.758,140664832,134.1484375,48,500,505,22,33,0,false
