runId,projectId,targetSourceFiles,measurementIndex,auditMs,parseMs,dependenciesMs,componentsMs,sinksMs,graphMs,reachabilityMs,staticAnalysisMs,reportMs,totalMs,peakRssBytes,peakRssMiB,rssSampleCount,sourceFileCount,componentCount,sinkCount,findingCount,diagnosticCount,outlier
20260918T145418654Z-389ceb1c,performance-50,50,1,0.093,47.448,12.625,5.724,4.461,0.76,5.686,76.704,0.094,77.296,102572032,97.8203125,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,2,0.089,48.225,11.702,5.467,4.363,0.715,5.572,76.044,0.091,76.609,102514688,97.765625,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,3,0.097,50.546,11.638,5.668,4.758,0.74,5.227,78.577,0.086,79.159,103501824,98.70703125,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,4,0.091,49.919,11.188,5.687,4.633,0.723,5.48,77.63,0.09,78.18,103108608,98.33203125,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,5,0.09,47.124,11.138,5.759,4.964,0.876,5.401,75.262,0.099,75.878,101679104,96.96875,27,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,6,0.087,47.703,11.573,5.551,5.01,0.874,5.682,76.393,0.097,76.987,102486016,97.73828125,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,7,0.085,47.792,10.975,5.568,4.817,0.888,5.858,75.898,0.118,76.564,102260736,97.5234375,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,8,0.106,47.707,11.901,6.159,4.665,0.731,5.6,76.763,0.09,77.379,103264256,98.48046875,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,9,0.11,50.253,12.233,5.481,4.355,0.754,5.473,78.549,0.089,79.179,102027264,97.30078125,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,10,0.089,47.93,11.584,5.576,4.626,0.722,5.291,75.729,0.091,76.303,103202816,98.421875,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,11,0.088,47.131,11.524,5.538,5.322,0.774,5.373,75.662,0.118,76.253,102572032,97.8203125,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,12,0.089,48.432,11.422,5.285,4.888,0.878,6.245,77.15,0.166,77.802,102117376,97.38671875,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,13,0.09,49.378,11.876,6.416,4.761,0.748,7.866,81.045,0.436,82.034,101146624,96.4609375,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,14,0.093,47.432,11.827,5.815,5.363,0.756,6.29,77.483,0.127,78.123,101990400,97.265625,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,15,0.086,47.25,11.317,5.385,4.791,0.738,6.026,75.507,0.13,76.222,101748736,97.03515625,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,16,0.09,47.709,12.204,5.69,5.125,1.08,5.639,77.447,0.157,78.115,101318656,96.625,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,17,0.096,48.094,11.627,5.377,4.496,1.173,6.302,77.069,0.3,77.901,102752256,97.9921875,30,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,18,0.135,48.739,12.026,5.549,4.741,0.717,6.106,77.878,0.107,78.534,102486016,97.73828125,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,19,0.088,46.509,11.357,5.679,5.03,0.817,5.021,74.413,0.094,74.968,102436864,97.69140625,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,20,0.089,50.104,11.14,5.353,4.3,0.786,5.476,77.159,0.115,77.734,101888000,97.16796875,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,21,0.092,48.742,11.561,5.651,4.489,0.735,5.726,76.904,0.091,77.476,101855232,97.13671875,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,22,0.088,48.32,11.643,5.558,4.373,0.8,6.174,76.868,0.1,77.441,102293504,97.5546875,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,23,0.09,49.372,11.994,5.855,4.879,0.725,6.991,79.816,0.13,80.446,102363136,97.62109375,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,24,0.181,50.559,11.235,5.903,4.363,1.037,5.727,78.824,0.112,79.579,103231488,98.44921875,30,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,25,0.178,49.642,11.107,5.972,4.592,0.714,5.418,77.445,0.09,78.105,102051840,97.32421875,27,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,26,0.183,52.223,11.421,5.361,4.189,0.722,5.373,79.289,0.1,80.055,102338560,97.59765625,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,27,0.091,48.92,13.48,8.242,4.717,0.879,5.269,81.507,0.124,82.156,102985728,98.21484375,30,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,28,0.088,46.974,11.145,5.691,4.684,0.734,6.571,75.799,0.216,76.514,102498304,97.75,26,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,29,0.091,50.396,10.953,5.372,4.224,0.782,5.391,77.118,0.094,77.687,103366656,98.578125,29,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-50,50,30,0.089,48.607,13.005,5.98,5.296,0.747,5.205,78.84,0.093,79.419,101810176,97.09375,28,50,55,22,33,0,false
20260918T145418654Z-389ceb1c,performance-250,250,1,0.088,139.155,29.657,19.558,11.558,3.219,4.697,207.844,0.088,208.404,117694464,112.2421875,36,250,255,22,33,0,false
20260918T145418654Z-389ceb1c,performance-250,250,2,0.094,140.991,30.995,22.492,11.592,1.302,7.294,214.666,0.118,215.325,117182464,111.75390625,34,250,255,22,33,0,false
20260918T145418654Z-389ceb1c,performance-250,250,3,0.087,141.422,30.001,20.085,13.527,1.283,5.001,211.319,0.086,211.882,117485568,112.04296875,38,250,255,22,33,0,false
