runId,projectId,targetSourceFiles,measurementIndex,auditMs,parseMs,dependenciesMs,componentsMs,sinksMs,graphMs,reachabilityMs,staticAnalysisMs,reportMs,totalMs,peakRssBytes,peakRssMiB,rssSampleCount,sourceFileCount,componentCount,sinkCount,findingCount,diagnosticCount,outlier
20260918T145518404Z-892aa8d3,performance-50,50,1,0.1,50.739,14.108,6.769,5.499,0.951,6.27,84.336,0.191,85.109,102125568,97.39453125,31,50,55,22,33,0,true
20260918T145518404Z-892aa8d3,performance-50,50,2,0.086,47.844,11.527,5.3,4.087,0.77,5.935,75.463,0.09,76.011,102801408,98.0390625,30,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,3,0.089,47.486,11.923,5.993,4.773,0.763,5.257,76.195,0.105,76.784,102875136,98.109375,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,4,0.087,48.908,11.739,5.529,4.127,0.736,5.77,76.809,0.097,77.383,102744064,97.984375,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,5,0.089,47.802,12.101,5.879,4.841,0.854,5.873,77.35,0.098,77.969,102363136,97.62109375,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,6,0.091,47.239,11.505,6.771,5.125,0.761,5.663,77.064,0.095,77.7,102551552,97.80078125,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,7,0.094,48.79,11.478,5.56,5.405,0.911,7.874,80.018,0.111,80.683,102240256,97.50390625,30,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,8,0.109,49.226,11.073,6.155,4.82,0.9,5.571,77.745,0.272,78.579,102948864,98.1796875,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,9,0.092,49.653,11.172,5.566,4.219,0.723,6.091,77.424,0.109,78.01,102019072,97.29296875,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,10,0.097,50.029,12.054,6.544,4.686,0.721,5.231,79.265,0.089,79.844,102666240,97.91015625,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,11,0.113,50.638,12.044,6.347,4.533,0.706,6.016,80.284,0.123,80.95,102539264,97.7890625,28,50,55,22,33,0,true
20260918T145518404Z-892aa8d3,performance-50,50,12,0.115,48.207,11.219,6.209,4.601,0.712,5.679,76.627,0.111,77.263,102432768,97.6875,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,13,0.17,52.159,12.111,5.395,5.706,1.085,6.1,82.556,0.338,83.61,102055936,97.328125,28,50,55,22,33,0,true
20260918T145518404Z-892aa8d3,performance-50,50,14,0.09,47.444,11.446,5.351,4.729,0.724,5.385,75.079,0.087,75.64,102154240,97.421875,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,15,0.088,49.834,11.158,5.205,4.491,0.729,5.656,77.073,0.095,77.629,101863424,97.14453125,30,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,16,0.097,48.461,11.338,5.249,4.409,0.703,5.563,75.723,0.132,76.351,102281216,97.54296875,30,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,17,0.09,48.613,12.451,5.677,4.643,0.725,5.413,77.522,0.091,78.09,102612992,97.859375,30,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,18,0.09,48.295,11.358,6.16,4.958,0.749,5.114,76.634,0.096,77.208,103104512,98.328125,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,19,0.087,47.067,11.741,5.373,4.296,0.706,5.112,74.295,0.088,74.848,103120896,98.34375,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,20,0.094,49.04,11.313,6.006,4.698,0.735,6.818,78.61,0.216,79.368,102301696,97.5625,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,21,0.088,48.248,11.595,5.656,4.721,0.735,5.826,76.781,0.153,77.426,101191680,96.50390625,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,22,0.089,48.413,11.728,5.464,4.187,0.712,5.712,76.216,0.087,76.774,101736448,97.0234375,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,23,0.089,47.517,11.589,5.475,4.183,0.715,5.184,74.663,0.314,75.466,103120896,98.34375,27,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,24,0.089,47.011,11.76,5.462,4.202,0.72,5.348,74.503,0.091,75.069,103149568,98.37109375,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,25,0.087,47.923,11.194,5.282,5.136,0.878,5.423,75.836,0.091,76.408,102293504,97.5546875,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,26,0.091,48.767,11.7,5.934,4.604,0.753,5.841,77.599,0.113,78.243,102072320,97.34375,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,27,0.09,48.008,11.28,5.672,4.25,0.821,5.975,76.006,0.109,76.589,102895616,98.12890625,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,28,0.087,48.46,11.356,5.292,4.061,0.698,5.538,75.405,0.138,76.028,103333888,98.546875,29,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,29,0.091,47.959,11.282,5.836,5.059,0.733,5.249,76.118,0.235,76.845,102871040,98.10546875,27,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-50,50,30,0.09,48.089,11.645,5.438,4.652,0.722,6.583,77.129,0.244,77.867,101679104,96.96875,28,50,55,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,1,0.091,141.812,29.563,18.942,11.481,3.278,4.884,209.96,0.091,210.538,117862400,112.40234375,38,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,2,0.09,140.621,30.188,21.206,13.377,1.364,4.731,211.487,0.099,212.086,116989952,111.5703125,35,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,3,0.088,142.507,30.95,19.693,11.868,3.634,5.092,213.744,0.091,214.345,116953088,111.53515625,36,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,4,0.089,138.817,30.116,22.429,11.815,3.069,5.898,212.144,0.092,212.744,117325824,111.890625,37,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,5,0.09,142.024,29.834,19.55,14.204,1.494,6.033,213.139,0.103,213.758,117207040,111.77734375,37,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,6,0.087,139.006,30.513,21.331,14.066,1.774,5.377,212.067,0.089,212.665,117370880,111.93359375,34,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,7,0.087,140.947,30.445,19.357,13.706,1.38,4.815,210.65,0.087,211.218,117268480,111.8359375,35,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,8,0.091,140.846,30.648,20.706,16.221,1.48,4.861,214.762,0.092,215.372,116965376,111.546875,37,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,9,0.108,140.463,31.217,20.31,13.098,1.374,5.126,211.588,0.117,212.237,117108736,111.68359375,38,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,10,0.086,140.808,31.218,20.663,13.869,1.339,5.011,212.908,0.095,213.501,117440512,112,39,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,11,0.089,138.325,29.637,19.478,12.351,3.529,4.948,208.268,0.111,209.129,117248000,111.81640625,38,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,12,0.092,141.017,31.208,20.321,17.556,1.572,4.847,216.521,0.095,217.134,117075968,111.65234375,37,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,13,0.09,140.912,30.738,21.009,11.811,1.335,6.658,212.463,0.093,213.051,117116928,111.69140625,37,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,14,0.093,140.242,30.989,20.812,14.365,1.44,4.94,212.788,0.092,213.475,117039104,111.6171875,35,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,15,0.087,141.31,30.663,19.989,11.545,3.145,4.775,211.427,0.102,212.043,117592064,112.14453125,37,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,16,0.089,141.969,30.94,20.116,13.513,1.371,5.517,213.426,0.112,214.031,117391360,111.953125,38,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,17,0.093,140.399,31.026,19.008,13.299,1.335,5.068,210.135,0.111,210.76,117235712,111.8046875,38,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,18,0.092,142.049,33.236,19.596,12.05,3.186,5.08,215.197,0.091,215.815,117710848,112.2578125,39,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,19,0.093,139.648,32.106,21.788,16.286,1.704,5.897,217.429,0.101,218.1,117346304,111.91015625,38,250,255,22,33,0,false
20260918T145518404Z-892aa8d3,performance-250,250,20,0.088,141.009,29.302,19.512,14.156,1.315,4.781,210.075,0.089,210.656,117227520,111.796875,38,250,255,22,33,0,false
