runId,cohort,projectId,scenarioId,expectedPositive,predictedPositive,outcome,findingCount,ruleIds,evidenceFiles
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,direct-inner-html,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/DirectInnerHtml.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,local-variable-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/LocalPropagation.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,inter-component-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/InterComponentPropagation.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,require-direct-eval,true,false,FN,0,,src/RequireDirectEval.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,unused-static-import,false,false,TN,0,,src/UnusedImport.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,component-without-sink,false,false,TN,0,,src/ComponentWithoutSink.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,unrelated-sink,false,true,FP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/UnrelatedSink.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,dynamic-import-no-binding,false,false,TN,0,,src/DynamicImportNoBinding.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,use-state-initial-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/UseStateInitial.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,use-state-setter-propagation,true,false,FN,0,,src/UseStateSetter.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,use-memo-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/UseMemoPropagation.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,cross-file-inter-component-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/cross-file-positive/CrossFileParent.jsx;src/cross-file-positive/HtmlSink.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,direct-jsx-url,true,false,FN,0,,src/DirectJsxUrl.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,direct-dom-ref-html,true,false,FN,0,,src/DirectDomRef.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,scope-shadowing-blocks-flow,false,false,TN,0,,src/ScopeShadowing.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,unrelated-location-sink,false,false,TN,0,,src/UnrelatedLocationSink.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,side-effect-require-no-binding,false,false,TN,0,,src/SideEffectRequire.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,unrelated-jsx-url-sink,false,false,TN,0,,src/UnrelatedJsxUrl.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,cross-file-safe-import-resolution,false,true,FP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/cross-file-safe/SafeParent.jsx;src/cross-file-safe/Target.jsx;src/cross-file-danger/Target.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,class-component-without-sink,false,false,TN,0,,src/ClassWithoutSink.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,use-reducer-initial-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/UseReducerInitial.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,use-callback-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/UseCallbackPropagation.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,direct-new-function,true,false,FN,0,,src/DirectNewFunction.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,insert-adjacent-html-propagation,true,false,FN,0,,src/InsertAdjacentHtmlPropagation.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,multi-hop-component-propagation,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/MultiHopPropagation.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,unrelated-use-reducer-sink,false,true,FP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/UnrelatedUseReducer.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,shadowed-eval-is-not-global-sink,false,false,TN,0,,src/ShadowedEvalSink.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,unrelated-insert-adjacent-html,false,false,TN,0,,src/UnrelatedInsertAdjacentHtml.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,require-destructured-without-sink,false,false,TN,0,,src/RequireDestructuredWithoutSink.jsx
20260913T162943241Z-c1b5665a,characterization,effectiveness-core,multi-hop-safe-terminal,false,false,TN,0,,src/MultiHopSafeTerminal.jsx
20260913T162943241Z-c1b5665a,holdout,adversarial-holdout,holdout-custom-hook-flow,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/CustomHookFlow.jsx
20260913T162943241Z-c1b5665a,holdout,adversarial-holdout,holdout-cross-file-helper-flow,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/helper/renderMarkdown.js;src/HelperFunctionFlow.jsx
20260913T162943241Z-c1b5665a,holdout,adversarial-holdout,holdout-react-context-flow,true,false,FN,0,,src/ContextFlow.jsx
20260913T162943241Z-c1b5665a,holdout,adversarial-holdout,holdout-member-mutation-flow,true,true,TP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/MemberMutationFlow.jsx
20260913T162943241Z-c1b5665a,holdout,adversarial-holdout,holdout-array-mutation-flow,true,false,FN,0,,src/ArrayMutationFlow.jsx
20260913T162943241Z-c1b5665a,holdout,adversarial-holdout,holdout-async-state-setter-flow,true,false,FN,0,,src/AsyncSetterFlow.jsx
20260913T162943241Z-c1b5665a,holdout,adversarial-holdout,holdout-overwritten-binding,false,true,FP,1,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,src/OverwrittenBinding.jsx
